[2025-02-02T20:30:03.884+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T20:30:03.899+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:29:57.839334+00:00 [queued]>
[2025-02-02T20:30:03.906+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:29:57.839334+00:00 [queued]>
[2025-02-02T20:30:03.907+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2025-02-02T20:30:03.918+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): load_data_into_duckdb> on 2025-02-02 20:29:57.839334+00:00
[2025-02-02T20:30:03.923+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3273) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T20:30:03.925+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'flights_pipeline', 'load_data_into_duckdb', 'manual__2025-02-02T20:29:57.839334+00:00', '--job-id', '70', '--raw', '--subdir', 'DAGS_FOLDER/zdag.py', '--cfg-path', '/tmp/tmp4yd4lhlp']
[2025-02-02T20:30:03.925+0000] {standard_task_runner.py:72} INFO - Started process 3305 to run task
[2025-02-02T20:30:03.926+0000] {standard_task_runner.py:105} INFO - Job 70: Subtask load_data_into_duckdb
[2025-02-02T20:30:03.977+0000] {task_command.py:467} INFO - Running <TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:29:57.839334+00:00 [running]> on host d628bd12729b
[2025-02-02T20:30:04.163+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flights_pipeline' AIRFLOW_CTX_TASK_ID='load_data_into_duckdb' AIRFLOW_CTX_EXECUTION_DATE='2025-02-02T20:29:57.839334+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-02T20:29:57.839334+00:00'
[2025-02-02T20:30:04.177+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-02T20:30:05.259+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'c034ab', 'callsign': 'CFTYO   ', 'origin_country': 'Canada', 'time_position': None, 'last_contact': 1738528166, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 132.14, 'true_track': 212.76, 'vertical_rate': -6.5, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.355+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'abfc78', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528190, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 43.33, 'true_track': 227.41, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.435+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a70b5a', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528167, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 23.75, 'true_track': 94.97, 'vertical_rate': -13.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.529+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '3c0583', 'callsign': '', 'origin_country': 'Germany', 'time_position': None, 'last_contact': 1738528196, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 1.03, 'true_track': 354.38, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.543+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e49ed5', 'callsign': '', 'origin_country': 'Brazil', 'time_position': None, 'last_contact': 1738528066, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 227.01, 'true_track': 34.19, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.726+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '8852e2', 'callsign': '', 'origin_country': 'Thailand', 'time_position': None, 'last_contact': 1738528183, 'longitude': None, 'latitude': None, 'baro_altitude': 11269.98, 'on_ground': False, 'velocity': 275.87, 'true_track': 75.86, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.783+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a03e41', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528102, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 60.8, 'true_track': 302.21, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:05.803+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '4b5dbb', 'callsign': '', 'origin_country': 'Switzerland', 'time_position': None, 'last_contact': 1738527984, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 1.03, 'true_track': 61.88, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:06.294+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a5ef01', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528193, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 71.74, 'true_track': 280.75, 'vertical_rate': -0.65, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:06.428+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'aa6844', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528198, 'longitude': None, 'latitude': None, 'baro_altitude': 3810, 'on_ground': False, 'velocity': 147.63, 'true_track': 15.15, 'vertical_rate': 12.68, 'sensors': None, 'geo_altitude': 4008.12, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:30:06.591+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'aaf397', 'callsign': 'N80434  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528055, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 56.83, 'true_track': 332.51, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
