[2025-02-02T20:39:20.197+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T20:39:20.214+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.222+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.224+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2025-02-02T20:39:20.238+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): load_data_into_duckdb> on 2025-02-02 20:39:13.519752+00:00
[2025-02-02T20:39:20.244+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3550) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T20:39:20.246+0000] {standard_task_runner.py:72} INFO - Started process 3582 to run task
[2025-02-02T20:39:20.246+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'flights_pipeline', 'load_data_into_duckdb', 'manual__2025-02-02T20:39:13.519752+00:00', '--job-id', '73', '--raw', '--subdir', 'DAGS_FOLDER/zdag.py', '--cfg-path', '/tmp/tmp4hdg4k3_']
[2025-02-02T20:39:20.248+0000] {standard_task_runner.py:105} INFO - Job 73: Subtask load_data_into_duckdb
[2025-02-02T20:39:20.292+0000] {task_command.py:467} INFO - Running <TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [running]> on host d628bd12729b
[2025-02-02T20:39:20.364+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flights_pipeline' AIRFLOW_CTX_TASK_ID='load_data_into_duckdb' AIRFLOW_CTX_EXECUTION_DATE='2025-02-02T20:39:13.519752+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-02T20:39:13.519752+00:00'
[2025-02-02T20:39:20.366+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-02T20:39:20.948+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7c725f', 'callsign': '', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528738, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 64.67, 'true_track': 242.01, 'vertical_rate': 3.25, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.013+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'ad3af3', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528616, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 39.7, 'true_track': 198.9, 'vertical_rate': 0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.070+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a70b5a', 'callsign': 'N553JB  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528592, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 27.88, 'true_track': 60.12, 'vertical_rate': -7.48, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.175+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '8014c8', 'callsign': '', 'origin_country': 'India', 'time_position': None, 'last_contact': 1738528648, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 75.28, 'true_track': 273.92, 'vertical_rate': -4.23, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.177+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'e49ed5', 'callsign': '', 'origin_country': 'Brazil', 'time_position': None, 'last_contact': 1738528711, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 186.16, 'true_track': 30.75, 'vertical_rate': -8.13, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.196+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '471f68', 'callsign': '', 'origin_country': 'Hungary', 'time_position': None, 'last_contact': 1738528713, 'longitude': None, 'latitude': None, 'baro_altitude': 11269.98, 'on_ground': False, 'velocity': 240.19, 'true_track': 80.88, 'vertical_rate': 0.33, 'sensors': None, 'geo_altitude': 11262.36, 'squawk': '1236', 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.460+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a809ae', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528753, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 69.49, 'true_track': 303.22, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:21.934+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a5ef01', 'callsign': 'N4812U  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528739, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 47.82, 'true_track': 281.79, 'vertical_rate': -0.65, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.135+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a30596', 'callsign': 'AAY382  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528589, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 1.29, 'true_track': 205.31, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.183+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a83bea', 'callsign': 'N63FK   ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528748, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 45.1, 'true_track': 242.85, 'vertical_rate': -0.33, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:22.265+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'acc084', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528708, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 46.81, 'true_track': 112.62, 'vertical_rate': 0.65, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
